Posting period;Mexico;Argentina;Chile;Other Conosur (Bol/Per/Uru);Brazil;Colombia;Ecuador;Peru;Venezuela(Bol.R);Caribe
01.01.2015;13054.8612164098;6387.87942868382;1175.000027735;1006.48605986997;4938.99999321996;4874.24921483598;2906.99999872126;1437.99997932888;2397.99999915228;7847.00011239162
01.02.2015;14653.2457821906;7665.89488932346;1106.75826382127;1125.73366988895;9493.99998079339;6302.57229773522;2470.99999867068;1552.00001638066;3058.99999379515;8890.00006123206
01.03.2015;17711.8606257048;11092.4004123578;1343.09970683886;1553.25203269688;13966.0000094109;5235.86356638056;2413.9999924998;2147.52858686812;2793.99999334375;10857.4950575268
01.04.2015;14714.1659920315;10967.0262704709;1824.9999891828;1356.40294172005;9401.99998734538;5585.36667733181;2622.00000029456;1334.0436200213;-7490.00000246158;8892.99993229818
01.05.2015;16485.796196572;10406.6989819444;1913.9999861036;1143.4232017905;14231.9999848089;6083.21520878429;744.9999912448;1355.74653314803;250.0000080018;8910.49509487067
01.06.2015;18859.0082605279;9764.28546203085;1889.9999938022;1429.2296689872;13996.9999890062;6138.14503940302;2518.00001010462;1672.10595109895;337.00000503997;10489.0000740411
01.07.2015;15644.9931203545;10906.0823060084;1822.0000192553;1299.65944135584;10777.9999905073;5478.36091351263;2335.0000113883;1517.5275727893;456.58201352725;7501.99994763802
01.08.2015;19374.7834580804;10052.8401686451;1678.9999990076;1178.52216266045;9807.99999720908;5168.7660617209;2748.99997668366;1533.00001124213;562.95001408485;9621.54677261967
01.09.2015;21783.8569349189;10948.4332570027;1617.9999816272;1115.9711504921;11318.9999919082;4896.16848287509;3504.0000036666;1559.68132681239;792.3730133962;9131.49500224171
01.10.2015;21034.6901809974;9945.07197220868;1694.0000143946;1056.19131589189;10575.0000061872;5916.29334554289;2882.00001651031;1529.34592869324;1510.00000135668;9060.99984227394
01.11.2015;23139.6033657828;11157.1849867067;1370.9999642656;1078.15750972452;10021.000005337;7866.81476064752;2735.99999280738;1581.67525234133;1715.99998434433;10296.4949511644
01.12.2015;14373.8267275061;7923.89888238969;1316.9999929034;1019.82058961359;12127.0000062636;4638.66908498308;3088.99999316335;915.296089068605;1428.00000573053;9032.0639733154
01.01.2016;12526.1956015679;7448.0596194559;1565.9999854766;932.409113745536;4036.00650346722;3865.7224092968;2352.00000977648;1068.01322108463;117.00000083544;9501.00006978187
01.02.2016;16614.3953791899;7619.03546677702;1406.9999865039;951.380863941841;7402.00622082885;4905.50964083166;2946.99999044008;1877.0699505523;101.99999165748;9486.49501922762
01.03.2016;15920.6200343548;8670.26678073343;1351.000006458;1000.000017469;12591.4980202401;4762.4138133287;2783.0000016838;1977.42619041851;106.9999983184;9498.00014190402
01.04.2016;14739.2545669458;9170.66852868145;1347.999991345;1123.9999883046;8095.00001504486;4453.10422914149;2777.99998820772;1081.41779282664;105.99999510453;8339.00004306715
01.05.2016;15683.5467880385;9988.80791680532;1438.000014351;1145.00003473781;7446.99998195503;5557.54291108722;3004.000007222;1617.53098382227;171.0000126832;9580.0000771659
01.06.2016;14768.3420178277;9744.86375560683;1283.9999984352;1129.99999680504;11528.9579091049;5989.83526907173;2711.9999973208;1897.09913870623;90.99999451564;9680.49521098159
01.07.2016;14538.7867510272;9467.91517251884;1303.9999936495;1274.00000735511;7240.60000959164;5285.16428094043;2666.00000540348;1452.4817942498;57.79100197995;9642.00018793655
01.08.2016;15709.7215492424;10371.3406368993;1398.000006184;1197.00001262263;11329.000002299;4637.99168830924;2631.9999957353;1470.00001245021;123.0000026561;9147.00012524664
01.09.2016;24594.0081528185;10462.9456206454;1320.9199960107;1211.99997241096;8448.00001947929;6143.30801005604;3197.99999172485;1786.00001298698;131.00000732706;9510.49502013044
01.10.2016;20265.1758275352;10414.7605411617;1284.000010634;1142.1603083903;10634.7886279321;6589.5069511308;2309.99999928603;1617.00001481351;411.99998939887;8690.99992554164
01.11.2016;18915.2697933889;9865.32550935723;1287.8310749774;1150.00001321866;9558.91847520439;8193.54315497872;3479.99998585684;1801.99999119702;263.0000054194;10255.4349346635
01.12.2016;13114.6087153947;8934.53198361553;1355.0000001328;1138.0000049264;14698.0000048422;6905.24161645077;4250.0000066784;1100.99999733027;426.00001588836;10876.9999616101
01.01.2017;10422.9881466886;8298.93349552464;1357.000004097;1162.00000119406;1864.43665583749;914.032216674261;1283.99801944098;695.999984007645;22.99946350256;8792.99991375928
01.02.2017;11636.6709575161;10536.9244803687;1247.0000043354;1232.00002916712;3685.47330116977;2998.23120010354;1861.9999857488;1899.00019739318;71.00000329768;9373.00033465726
01.03.2017;18322.698275965;12139.7750718434;1177.0000018312;1363.00004620276;2665.99978049612;5336.2085311478;4193.99994095637;2613.0000110215;141.99999815308;9579.00003478355
01.04.2017;14650.8800084025;13270.7702562241;1128.9999978528;1275.00002021233;9879.99959582247;3536.13306378816;2311.00001742968;1586.00000857567;98.00000662996;8179.00001755108
